EmployeeNumber,base_value,shap_feature_1,shap_value_1,shap_feature_2,shap_value_2,shap_feature_3,shap_value_3,shap_feature_4,shap_value_4,shap_feature_5,shap_value_5
23,1.401708,income_to_dept_avg,-1.560928,JobSatisfaction,-1.083909,Education,-0.778134,EnvironmentSatisfaction,0.756379,TotalWorkingYears,-0.52403
24,1.401708,JobSatisfaction,-1.589067,EnvironmentSatisfaction,-1.130998,Age,-0.995657,NumCompaniesWorked,0.82047,total_satisfaction,-0.678206
26,1.401708,JobInvolvement,-1.618337,BusinessTravel,-0.90516,MaritalStatus,-0.838645,NumCompaniesWorked,-0.832433,StockOptionLevel,-0.733076
27,1.401708,JobSatisfaction,1.375273,MaritalStatus,0.706467,NumCompaniesWorked,0.664604,StockOptionLevel,0.62296,WorkLifeBalance,-0.518051
28,1.401708,income_to_dept_avg,-1.08724,YearsWithCurrManager,-0.926928,NumCompaniesWorked,-0.849402,promotion_stagnation,-0.832291,EnvironmentSatisfaction,0.720451
30,1.401708,income_to_dept_avg,1.731631,JobSatisfaction,-1.299234,TrainingTimesLastYear,-1.20974,YearsWithCurrManager,0.888536,JobRole,-0.69314
31,1.401708,JobSatisfaction,1.037604,MaritalStatus,0.581552,StockOptionLevel,0.456499,WorkLifeBalance,-0.453009,JobRole,-0.436058
32,1.401708,income_to_dept_avg,-1.289064,MaritalStatus,-0.835075,YearsInCurrentRole,-0.825252,promotion_stagnation,-0.723437,YearsWithCurrManager,-0.548551
33,1.401708,JobInvolvement,1.320162,MaritalStatus,0.798204,JobSatisfaction,0.765201,StockOptionLevel,0.70841,burnout_proxy,0.612857
35,1.401708,NumCompaniesWorked,-0.770197,Education,-0.754345,RelationshipSatisfaction,-0.72259,StockOptionLevel,-0.569637,WorkLifeBalance,-0.542538
36,1.401708,EnvironmentSatisfaction,1.275392,YearsWithCurrManager,-0.9101,income_to_dept_avg,-0.888993,JobRole,-0.854165,JobSatisfaction,-0.836959
38,1.401708,income_to_dept_avg,-2.090301,JobSatisfaction,0.750403,Age,-0.735358,Education,-0.593921,RelationshipSatisfaction,-0.581924
39,1.401708,JobSatisfaction,-1.349472,RelationshipSatisfaction,-0.764591,YearsWithCurrManager,0.721833,MonthlyIncome,-0.676292,DistanceFromHome,-0.638391
40,1.401708,JobSatisfaction,-1.063513,JobRole,-0.98883,EnvironmentSatisfaction,-0.882733,MonthlyIncome,-0.869283,TrainingTimesLastYear,-0.838826
41,1.401708,EnvironmentSatisfaction,-1.224042,promotion_stagnation,-1.102896,YearsWithCurrManager,-1.058937,TrainingTimesLastYear,-0.905309,MonthlyIncome,-0.7767
42,1.401708,income_to_dept_avg,2.024988,YearsWithCurrManager,1.08972,JobSatisfaction,-0.891492,TrainingTimesLastYear,-0.622762,EnvironmentSatisfaction,-0.622088
45,1.401708,DistanceFromHome,-1.231178,JobSatisfaction,-1.12532,YearsWithCurrManager,0.889209,OverTime,0.79754,burnout_proxy,0.796519
46,1.401708,JobInvolvement,-1.593805,EnvironmentSatisfaction,-1.079095,MonthlyIncome,-0.74045,StockOptionLevel,-0.708605,MaritalStatus,-0.628408
47,1.401708,burnout_proxy,0.889306,EnvironmentSatisfaction,0.839309,OverTime,0.649804,income_to_dept_avg,0.598098,Age,-0.539414
49,1.401708,income_to_dept_avg,1.432632,JobSatisfaction,-1.376427,EnvironmentSatisfaction,-0.875907,DistanceFromHome,-0.748032,Age,-0.643054
51,1.401708,RelationshipSatisfaction,-0.787821,Age,-0.755657,JobSatisfaction,0.721327,YearsWithCurrManager,0.701858,StockOptionLevel,-0.678555
52,1.401708,JobInvolvement,-1.283531,DistanceFromHome,-1.084008,StockOptionLevel,-1.033356,PercentSalaryHike,-0.667044,JobSatisfaction,0.648262
53,1.401708,income_to_dept_avg,1.443227,JobSatisfaction,-1.147451,YearsWithCurrManager,0.810212,MaritalStatus,-0.600402,Age,-0.593939
54,1.401708,YearsWithCurrManager,0.951103,EnvironmentSatisfaction,-0.936341,TrainingTimesLastYear,-0.86339,RelationshipSatisfaction,-0.8286,DistanceFromHome,-0.594909
55,1.401708,JobInvolvement,1.460687,EnvironmentSatisfaction,0.863771,YearsWithCurrManager,0.555869,WorkLifeBalance,0.548328,StockOptionLevel,0.538663
56,1.401708,EnvironmentSatisfaction,-1.207894,promotion_stagnation,-0.812348,RelationshipSatisfaction,-0.606515,TrainingTimesLastYear,0.533431,WorkLifeBalance,-0.475333
57,1.401708,DistanceFromHome,-1.501172,JobSatisfaction,-1.422539,promotion_stagnation,-0.823197,RelationshipSatisfaction,-0.625738,MonthlyIncome,-0.507035
58,1.401708,income_to_dept_avg,-1.193134,TrainingTimesLastYear,0.82581,YearsInCurrentRole,-0.682524,YearsWithCurrManager,-0.657976,Age,-0.56608
60,1.401708,BusinessTravel,-0.906465,DistanceFromHome,0.806422,NumCompaniesWorked,-0.79708,MaritalStatus,0.649769,WorkLifeBalance,-0.608637
61,1.401708,YearsWithCurrManager,0.760964,Age,-0.701549,StockOptionLevel,0.650213,income_to_dept_avg,-0.620375,JobRole,-0.582181
62,1.401708,JobSatisfaction,-1.470503,EnvironmentSatisfaction,0.741377,DistanceFromHome,-0.718182,burnout_proxy,0.686638,MonthlyIncome,-0.668822
63,1.401708,JobSatisfaction,-1.354142,JobInvolvement,-1.103152,EnvironmentSatisfaction,-0.70648,PercentSalaryHike,-0.702573,RelationshipSatisfaction,-0.649823
64,1.401708,EnvironmentSatisfaction,1.302806,DistanceFromHome,-1.1805,burnout_proxy,0.970863,YearsWithCurrManager,0.753647,RelationshipSatisfaction,-0.60677
65,1.401708,Age,0.757708,WorkLifeBalance,0.73455,burnout_proxy,0.648221,JobRole,0.525325,promotion_stagnation,0.504261
68,1.401708,DistanceFromHome,-1.529711,StockOptionLevel,-1.105966,MaritalStatus,-1.007005,MonthlyIncome,-0.803508,burnout_proxy,0.769094
70,1.401708,JobRole,-1.241081,StockOptionLevel,-0.739502,BusinessTravel,-0.736977,JobSatisfaction,0.580673,income_to_dept_avg,-0.512012
72,1.401708,JobSatisfaction,-1.558097,StockOptionLevel,-0.966647,MonthlyIncome,-0.932807,PercentSalaryHike,-0.697473,income_to_dept_avg,-0.589556
73,1.401708,income_to_dept_avg,-1.624396,JobSatisfaction,-1.314753,DistanceFromHome,-1.311719,EnvironmentSatisfaction,0.835455,YearsWithCurrManager,-0.829247
74,1.401708,StockOptionLevel,-0.683091,WorkLifeBalance,0.658598,JobSatisfaction,0.65103,RelationshipSatisfaction,-0.636384,DistanceFromHome,0.617791
75,1.401708,StockOptionLevel,-0.997418,DistanceFromHome,0.716013,WorkLifeBalance,-0.629933,JobSatisfaction,0.582258,Education,-0.567982
76,1.401708,JobSatisfaction,-1.077601,EnvironmentSatisfaction,-0.764868,MonthlyIncome,-0.717749,MaritalStatus,-0.705908,WorkLifeBalance,0.640327
77,1.401708,DistanceFromHome,-1.378474,MaritalStatus,-1.068714,EnvironmentSatisfaction,0.803281,MonthlyIncome,-0.786393,Education,-0.699213
78,1.401708,DistanceFromHome,-1.557334,MonthlyIncome,-0.893915,JobSatisfaction,-0.846582,EnvironmentSatisfaction,0.816224,StockOptionLevel,-0.80387
79,1.401708,JobSatisfaction,-1.082731,EnvironmentSatisfaction,-0.971116,Age,-0.887328,YearsWithCurrManager,-0.685571,WorkLifeBalance,-0.650081
80,1.401708,income_to_dept_avg,-1.284998,MaritalStatus,-0.921359,NumCompaniesWorked,0.809907,promotion_stagnation,-0.740762,EducationField,-0.589818
81,1.401708,promotion_stagnation,-0.937643,YearsInCurrentRole,-0.901949,YearsWithCurrManager,-0.794965,RelationshipSatisfaction,-0.758577,TotalWorkingYears,-0.724212
83,1.401708,JobRole,-0.943842,MaritalStatus,-0.910715,YearsWithCurrManager,-0.870696,YearsInCurrentRole,-0.825525,income_to_dept_avg,-0.750673
84,1.401708,income_to_dept_avg,-1.669557,EnvironmentSatisfaction,-1.032818,MaritalStatus,-0.892525,StockOptionLevel,-0.547285,total_satisfaction,-0.477363
85,1.401708,MonthlyIncome,-0.637357,MaritalStatus,0.605759,JobSatisfaction,0.590342,income_to_dept_avg,-0.491,Age,-0.483108
86,1.401708,JobSatisfaction,0.956028,MaritalStatus,-0.873465,StockOptionLevel,-0.829708,YearsWithCurrManager,0.769071,Age,-0.738328
88,1.401708,DistanceFromHome,-1.52975,MonthlyIncome,-0.904738,JobSatisfaction,0.721005,RelationshipSatisfaction,-0.711724,StockOptionLevel,-0.704009
90,1.401708,StockOptionLevel,-0.860245,YearsWithCurrManager,0.721369,Age,-0.682056,JobRole,-0.671572,NumCompaniesWorked,-0.661752
91,1.401708,DistanceFromHome,-1.311085,MonthlyIncome,-0.725176,RelationshipSatisfaction,-0.702803,Age,-0.638453,EnvironmentSatisfaction,0.562041
94,1.401708,NumCompaniesWorked,-0.882563,RelationshipSatisfaction,-0.797597,MonthlyIncome,-0.641982,StockOptionLevel,-0.575931,JobRole,-0.53653
95,1.401708,DistanceFromHome,-1.509534,YearsWithCurrManager,0.881125,MonthlyIncome,-0.760623,StockOptionLevel,0.574269,JobRole,-0.548564
96,1.401708,DistanceFromHome,-1.112708,YearsWithCurrManager,-0.933412,StockOptionLevel,-0.718431,promotion_stagnation,-0.617994,MonthlyIncome,-0.596775
97,1.401708,JobSatisfaction,-1.916725,JobInvolvement,-1.489461,Age,-0.99006,YearsWithCurrManager,0.765883,income_to_dept_avg,-0.49449
98,1.401708,JobSatisfaction,-1.57733,promotion_stagnation,-0.699594,RelationshipSatisfaction,-0.670149,WorkLifeBalance,-0.502888,MonthlyIncome,-0.474444
100,1.401708,DistanceFromHome,-1.306724,promotion_stagnation,-1.092653,JobSatisfaction,1.080297,YearsWithCurrManager,-0.781632,YearsInCurrentRole,-0.757245
101,1.401708,income_to_dept_avg,-2.475941,Age,-1.225407,EnvironmentSatisfaction,-0.796131,JobSatisfaction,0.756159,Education,-0.73193
102,1.401708,income_to_dept_avg,-2.080576,Education,-0.769682,EnvironmentSatisfaction,0.756098,Age,-0.567529,RelationshipSatisfaction,0.472133
103,1.401708,MaritalStatus,-0.807979,MonthlyIncome,-0.784383,Age,-0.699186,StockOptionLevel,-0.654763,RelationshipSatisfaction,-0.587345
104,1.401708,DistanceFromHome,-1.47918,MonthlyIncome,-0.964986,JobSatisfaction,-0.942915,EnvironmentSatisfaction,-0.932532,total_satisfaction,-0.801389
105,1.401708,DistanceFromHome,-1.285814,MonthlyIncome,-0.803289,MaritalStatus,0.615767,RelationshipSatisfaction,0.59386,JobSatisfaction,-0.512236
106,1.401708,JobSatisfaction,-1.378989,EnvironmentSatisfaction,1.203068,DistanceFromHome,-1.047293,total_satisfaction,0.619411,income_to_dept_avg,-0.480595
107,1.401708,JobInvolvement,1.519671,NumCompaniesWorked,1.140182,YearsWithCurrManager,-0.869794,JobSatisfaction,-0.82239,MaritalStatus,-0.766126
110,1.401708,DistanceFromHome,-1.742166,EnvironmentSatisfaction,0.773047,JobSatisfaction,0.598036,StockOptionLevel,0.496683,NumCompaniesWorked,-0.49622
112,1.401708,JobSatisfaction,-1.63549,JobInvolvement,1.541968,EnvironmentSatisfaction,-1.240905,TotalWorkingYears,-0.728345,income_to_dept_avg,-0.6048
113,1.401708,YearsWithCurrManager,0.866402,MaritalStatus,-0.82878,StockOptionLevel,-0.798081,JobSatisfaction,0.599279,WorkLifeBalance,-0.510733
116,1.401708,JobSatisfaction,-1.177474,EnvironmentSatisfaction,-0.862548,YearsWithCurrManager,-0.606347,WorkLifeBalance,-0.59605,Age,-0.558519
117,1.401708,JobSatisfaction,-1.030159,JobRole,-1.003093,YearsInCurrentRole,-0.902406,RelationshipSatisfaction,0.597751,YearsWithCurrManager,-0.587745
118,1.401708,JobSatisfaction,-1.211087,MonthlyIncome,0.85209,YearsSinceLastPromotion,0.58112,YearsAtCompany,0.483087,MaritalStatus,0.441451
119,1.401708,DistanceFromHome,-1.355923,JobRole,-1.323353,income_to_dept_avg,-1.207823,YearsWithCurrManager,-0.602664,Education,-0.519121
120,1.401708,JobSatisfaction,-1.542699,NumCompaniesWorked,-0.946422,WorkLifeBalance,0.902136,DistanceFromHome,0.800184,MonthlyIncome,-0.698976
121,1.401708,MaritalStatus,-1.143901,promotion_stagnation,-1.121888,MonthlyIncome,-0.922662,StockOptionLevel,-0.889005,WorkLifeBalance,0.523078
124,1.401708,JobRole,-1.597071,DistanceFromHome,-1.30988,income_to_dept_avg,-0.953943,YearsInCurrentRole,-0.862148,StockOptionLevel,-0.759846
125,1.401708,Education,-0.626417,MaritalStatus,0.597866,WorkLifeBalance,-0.547716,RelationshipSatisfaction,0.493517,promotion_stagnation,-0.49105
126,1.401708,income_to_dept_avg,-1.685446,total_satisfaction,-1.056671,WorkLifeBalance,0.774556,Age,-0.730827,Education,-0.678867
128,1.401708,total_satisfaction,-1.091005,StockOptionLevel,-0.875092,NumCompaniesWorked,-0.751765,PercentSalaryHike,-0.505628,RelationshipSatisfaction,0.476036
129,1.401708,BusinessTravel,-1.098467,NumCompaniesWorked,-0.578037,WorkLifeBalance,-0.458643,promotion_stagnation,-0.421191,YearsWithCurrManager,-0.417117
131,1.401708,promotion_stagnation,-0.982604,EnvironmentSatisfaction,-0.957455,income_to_dept_avg,-0.908864,NumCompaniesWorked,-0.822948,YearsInCurrentRole,-0.702715
132,1.401708,BusinessTravel,-0.802532,MonthlyIncome,-0.753799,StockOptionLevel,-0.745104,Age,-0.683717,YearsWithCurrManager,-0.57852
133,1.401708,income_to_dept_avg,1.684965,burnout_proxy,0.927777,JobSatisfaction,0.806778,RelationshipSatisfaction,-0.678623,OverTime,0.630123
134,1.401708,DistanceFromHome,-1.51418,EnvironmentSatisfaction,-1.327808,RelationshipSatisfaction,-1.279209,YearsWithCurrManager,0.739847,JobSatisfaction,0.735935
137,1.401708,JobSatisfaction,-1.239279,Age,1.101818,total_satisfaction,-1.000264,EnvironmentSatisfaction,-0.88661,burnout_proxy,0.877751
138,1.401708,promotion_stagnation,-1.150068,YearsWithCurrManager,-0.904282,EnvironmentSatisfaction,0.894209,YearsInCurrentRole,-0.71801,MaritalStatus,0.555305
139,1.401708,JobSatisfaction,-1.358057,NumCompaniesWorked,0.922389,JobRole,-0.745651,Age,-0.706979,BusinessTravel,-0.703772
140,1.401708,income_to_dept_avg,-1.197397,JobSatisfaction,-1.159938,Education,-0.701355,BusinessTravel,-0.576353,PercentSalaryHike,-0.572725
141,1.401708,income_to_dept_avg,-1.889253,DistanceFromHome,-1.525551,total_satisfaction,-0.684829,PercentSalaryHike,-0.614284,EnvironmentSatisfaction,0.553651
142,1.401708,burnout_proxy,0.803507,RelationshipSatisfaction,-0.674818,OverTime,0.640499,MaritalStatus,0.613497,MonthlyIncome,-0.563171
143,1.401708,JobSatisfaction,-1.423914,StockOptionLevel,-0.911043,EnvironmentSatisfaction,-0.872867,JobRole,-0.694503,WorkLifeBalance,-0.456997
144,1.401708,JobSatisfaction,-1.642089,TrainingTimesLastYear,-0.827108,YearsWithCurrManager,0.737425,Age,0.647178,WorkLifeBalance,-0.487801
145,1.401708,JobRole,-1.759645,DistanceFromHome,-1.562441,EnvironmentSatisfaction,0.781852,JobSatisfaction,0.722006,YearsInCurrentRole,-0.670133
147,1.401708,JobInvolvement,1.576184,EnvironmentSatisfaction,1.20872,burnout_proxy,0.904876,OverTime,0.603867,MaritalStatus,0.593521
148,1.401708,income_to_dept_avg,-1.63579,JobSatisfaction,-1.19031,EnvironmentSatisfaction,-1.020839,burnout_proxy,0.855418,JobInvolvement,-0.833944
150,1.401708,NumCompaniesWorked,-0.793489,StockOptionLevel,-0.628628,MonthlyIncome,-0.594573,YearsWithCurrManager,-0.550862,OverTime,-0.502208
151,1.401708,StockOptionLevel,-0.957317,YearsWithCurrManager,0.860472,MaritalStatus,-0.839767,WorkLifeBalance,-0.694773,NumCompaniesWorked,0.650267
152,1.401708,JobSatisfaction,-1.95181,RelationshipSatisfaction,0.66421,Age,-0.575066,WorkLifeBalance,-0.423045,MaritalStatus,0.392897
153,1.401708,TrainingTimesLastYear,-1.511408,income_to_dept_avg,-0.936645,YearsWithCurrManager,-0.79845,YearsInCurrentRole,-0.711932,RelationshipSatisfaction,-0.694278
154,1.401708,JobSatisfaction,-1.004067,TrainingTimesLastYear,-0.844756,NumCompaniesWorked,-0.77052,Age,-0.613155,MonthlyIncome,0.601731
155,1.401708,JobSatisfaction,-1.783646,EnvironmentSatisfaction,1.207906,PercentSalaryHike,-0.953788,YearsWithCurrManager,0.690975,Age,-0.642675
158,1.401708,income_to_dept_avg,-1.346653,YearsWithCurrManager,-0.913488,JobSatisfaction,-0.722133,YearsInCurrentRole,-0.700917,promotion_stagnation,-0.507029
159,1.401708,JobInvolvement,1.343403,MaritalStatus,-0.991416,promotion_stagnation,-0.971144,StockOptionLevel,-0.933564,EnvironmentSatisfaction,0.908449
160,1.401708,BusinessTravel,-0.944192,StockOptionLevel,-0.759214,MonthlyIncome,-0.753764,NumCompaniesWorked,-0.656609,RelationshipSatisfaction,0.610884
161,1.401708,StockOptionLevel,-1.095085,Education,-0.827001,MonthlyIncome,-0.819649,burnout_proxy,0.602462,Age,-0.595387
162,1.401708,income_to_dept_avg,-1.323383,YearsWithCurrManager,-0.98033,TrainingTimesLastYear,-0.861432,NumCompaniesWorked,0.75938,YearsInCurrentRole,-0.679674
163,1.401708,JobInvolvement,1.430826,WorkLifeBalance,0.897411,StockOptionLevel,0.804561,burnout_proxy,0.633501,OverTime,0.521219
164,1.401708,WorkLifeBalance,0.818101,PercentSalaryHike,-0.808144,JobRole,-0.532442,StockOptionLevel,0.466798,YearsWithCurrManager,-0.462608
165,1.401708,EnvironmentSatisfaction,-0.90033,JobRole,-0.807639,income_to_dept_avg,-0.772291,JobSatisfaction,-0.764815,YearsInCurrentRole,-0.71802
167,1.401708,income_to_dept_avg,1.413021,YearsWithCurrManager,0.715396,OverTime,0.687628,RelationshipSatisfaction,-0.686447,DistanceFromHome,0.647955
169,1.401708,JobSatisfaction,-1.207274,MonthlyIncome,-0.870936,NumCompaniesWorked,-0.846573,StockOptionLevel,-0.638908,Age,0.576525
170,1.401708,promotion_stagnation,-1.421793,YearsInCurrentRole,-0.846642,YearsWithCurrManager,-0.828888,MonthlyIncome,-0.770837,JobSatisfaction,0.766305
171,1.401708,JobInvolvement,-1.221004,Age,-0.678168,TotalWorkingYears,-0.63969,RelationshipSatisfaction,-0.615805,MaritalStatus,0.508874
174,1.401708,JobSatisfaction,-1.659808,RelationshipSatisfaction,-0.60599,income_to_dept_avg,-0.477498,WorkLifeBalance,-0.455697,DistanceFromHome,0.455623
175,1.401708,JobInvolvement,1.323594,StockOptionLevel,-1.034505,MonthlyIncome,-0.891031,WorkLifeBalance,-0.635876,burnout_proxy,0.603999
176,1.401708,MaritalStatus,-1.201035,promotion_stagnation,-0.74583,StockOptionLevel,-0.566266,Age,-0.537044,EnvironmentSatisfaction,-0.398472
177,1.401708,RelationshipSatisfaction,-0.594067,StockOptionLevel,-0.579022,WorkLifeBalance,-0.462053,OverTime,-0.404908,burnout_proxy,-0.389559
178,1.401708,PercentSalaryHike,-0.918343,StockOptionLevel,-0.803695,MaritalStatus,-0.791347,RelationshipSatisfaction,-0.787887,NumCompaniesWorked,0.654311
179,1.401708,JobSatisfaction,-1.734625,JobInvolvement,1.458846,income_to_dept_avg,-1.083011,EnvironmentSatisfaction,1.04759,Education,-0.735221
182,1.401708,YearsWithCurrManager,-0.98582,EnvironmentSatisfaction,-0.868523,MonthlyIncome,-0.840846,promotion_stagnation,-0.734409,YearsInCurrentRole,-0.732341
183,1.401708,EnvironmentSatisfaction,0.80143,RelationshipSatisfaction,-0.628198,WorkLifeBalance,-0.572436,YearsWithCurrManager,-0.536702,OverTime,-0.475275
184,1.401708,JobSatisfaction,-1.253026,NumCompaniesWorked,-1.152536,WorkLifeBalance,0.855246,YearsInCurrentRole,-0.836257,MonthlyIncome,-0.728276
190,1.401708,JobSatisfaction,1.156014,EnvironmentSatisfaction,1.083229,NumCompaniesWorked,0.766056,MaritalStatus,0.670406,StockOptionLevel,0.637247
192,1.401708,JobSatisfaction,-1.992326,Age,-0.744221,NumCompaniesWorked,0.56483,JobRole,-0.552316,WorkLifeBalance,0.527102
193,1.401708,Age,-1.111938,EnvironmentSatisfaction,-0.901517,Education,-0.753729,MonthlyIncome,-0.686921,WorkLifeBalance,-0.677983
194,1.401708,EnvironmentSatisfaction,0.896448,MonthlyIncome,-0.66402,MaritalStatus,0.574479,promotion_stagnation,-0.519707,total_satisfaction,-0.51448
195,1.401708,JobInvolvement,1.328094,EnvironmentSatisfaction,-0.946792,JobSatisfaction,-0.94601,MaritalStatus,-0.743986,NumCompaniesWorked,-0.72875
197,1.401708,EnvironmentSatisfaction,-1.159026,NumCompaniesWorked,0.838646,MaritalStatus,-0.741443,RelationshipSatisfaction,-0.717637,StockOptionLevel,-0.682868
198,1.401708,JobSatisfaction,-1.433447,NumCompaniesWorked,-1.018811,RelationshipSatisfaction,-0.766366,MonthlyIncome,-0.591755,DistanceFromHome,-0.495755
199,1.401708,income_to_dept_avg,-1.872301,EnvironmentSatisfaction,-1.1514,MaritalStatus,-0.87844,StockOptionLevel,-0.632903,Age,-0.526496
200,1.401708,JobSatisfaction,0.922583,WorkLifeBalance,-0.691573,RelationshipSatisfaction,-0.68962,StockOptionLevel,-0.672907,MonthlyIncome,-0.62219
201,1.401708,income_to_dept_avg,1.388836,RelationshipSatisfaction,-1.237804,YearsWithCurrManager,0.76576,WorkLifeBalance,-0.524455,Age,0.444924
202,1.401708,YearsWithCurrManager,-1.142077,MaritalStatus,-1.079695,promotion_stagnation,-0.853405,MonthlyIncome,-0.815504,StockOptionLevel,-0.678557
204,1.401708,DistanceFromHome,-1.085853,Education,-0.872758,promotion_stagnation,-0.764136,StockOptionLevel,-0.622079,RelationshipSatisfaction,0.602562
205,1.401708,WorkLifeBalance,1.070415,PercentSalaryHike,-0.733154,StockOptionLevel,-0.687473,OverTime,0.591127,RelationshipSatisfaction,-0.587442
206,1.401708,WorkLifeBalance,1.352369,YearsInCurrentRole,-0.959831,promotion_stagnation,-0.901085,MaritalStatus,-0.877688,YearsWithCurrManager,-0.850837
207,1.401708,JobSatisfaction,-1.504005,RelationshipSatisfaction,-0.636569,WorkLifeBalance,-0.441315,PercentSalaryHike,-0.392038,MaritalStatus,0.390659
208,1.401708,DistanceFromHome,-1.334418,YearsWithCurrManager,-1.110255,BusinessTravel,-1.015763,EnvironmentSatisfaction,-0.893529,promotion_stagnation,-0.85516
211,1.401708,Age,-1.127368,MonthlyIncome,-0.710826,WorkLifeBalance,-0.709102,Education,-0.688173,YearsWithCurrManager,0.599325
214,1.401708,StockOptionLevel,-0.961986,Age,-0.919432,PercentSalaryHike,-0.859584,JobRole,-0.656343,income_to_dept_avg,-0.604478
215,1.401708,JobSatisfaction,-1.233151,YearsInCurrentRole,-0.951209,promotion_stagnation,-0.840929,YearsWithCurrManager,-0.799973,WorkLifeBalance,0.626096
216,1.401708,DistanceFromHome,-0.739532,StockOptionLevel,-0.728731,PercentSalaryHike,-0.700251,NumCompaniesWorked,0.639682,MonthlyIncome,-0.634987
217,1.401708,JobSatisfaction,-1.152766,TrainingTimesLastYear,-1.020658,JobRole,-0.725598,OverTime,-0.675923,StockOptionLevel,-0.667405
218,1.401708,WorkLifeBalance,1.490194,StockOptionLevel,-0.928736,BusinessTravel,-0.832927,NumCompaniesWorked,0.748686,MaritalStatus,-0.733674
221,1.401708,JobSatisfaction,-1.675759,WorkLifeBalance,1.017715,JobRole,-0.768757,PercentSalaryHike,0.559197,StockOptionLevel,-0.554974
223,1.401708,JobInvolvement,-1.347441,JobSatisfaction,-1.269701,JobRole,-1.137129,MaritalStatus,-0.788939,StockOptionLevel,-0.650635
224,1.401708,BusinessTravel,-1.315566,JobRole,-0.827315,MaritalStatus,-0.825546,StockOptionLevel,-0.759795,RelationshipSatisfaction,-0.755879
226,1.401708,income_to_dept_avg,-1.911234,TrainingTimesLastYear,-1.181609,MaritalStatus,0.571947,Age,-0.545512,burnout_proxy,-0.403979
227,1.401708,MonthlyIncome,-1.065503,YearsWithCurrManager,-0.963598,EnvironmentSatisfaction,0.96063,MaritalStatus,-0.891732,promotion_stagnation,-0.622418
228,1.401708,JobSatisfaction,-1.075561,YearsInCurrentRole,-0.879279,StockOptionLevel,-0.554315,WorkLifeBalance,-0.441034,YearsSinceLastPromotion,0.362666
230,1.401708,JobSatisfaction,-1.831283,DistanceFromHome,-1.241459,EnvironmentSatisfaction,0.982394,Education,-0.782637,Age,-0.65434
