EmployeeNumber,Age,Department,JobRole,MonthlyIncome,attrition_verdict,attrition_probability,risk_tier,primary_reason,reason_prob_burnout,reason_prob_compensation,reason_prob_stagnation,reason_prob_career_growth
148,54,Human Resources,Manager,17328,No,0.01,Low,N/A,0.0537,0.9363,0.0,0.01
150,24,Research & Development,Laboratory Technician,2774,No,0.0444,Low,N/A,0.0149,0.9851,0.0,0.0
151,34,Research & Development,Research Scientist,4505,No,0.041,Low,N/A,0.0223,0.9777,0.0,0.0
152,37,Sales,Sales Executive,7428,No,0.0263,Low,N/A,0.0079,0.9921,0.0,0.0
153,34,Research & Development,Manager,11631,No,0.0069,Low,N/A,0.0536,0.8133,0.0,0.1331
154,36,Sales,Sales Executive,9738,No,0.0389,Low,N/A,0.0135,0.8525,0.0,0.134
155,36,Research & Development,Laboratory Technician,2835,No,0.048,Low,N/A,0.0206,0.9794,0.0,0.0
158,43,Sales,Manager,16959,No,0.0045,Low,N/A,0.087,0.8786,0.0,0.0343
159,30,Research & Development,Research Scientist,2613,No,0.0957,Low,N/A,0.1038,0.8766,0.0,0.0196
160,33,Sales,Sales Executive,6146,No,0.0167,Low,N/A,0.0259,0.9396,0.0,0.0345
161,56,Research & Development,Research Scientist,4963,No,0.0607,Low,N/A,0.0835,0.9116,0.0,0.005
162,51,Research & Development,Research Director,19537,No,0.0229,Low,N/A,0.0589,0.7728,0.0,0.1683
163,31,Sales,Sales Executive,6172,Yes,0.9871,Critical,Burnout,0.9156,0.0747,0.0,0.0097
164,26,Research & Development,Research Scientist,2368,No,0.2226,Low,N/A,0.039,0.961,0.0,0.0
165,58,Research & Development,Healthcare Representative,10312,No,0.009,Low,N/A,0.0781,0.8877,0.0,0.0342
167,19,Sales,Sales Representative,1675,Yes,0.9962,Critical,Burnout,0.7835,0.2165,0.0,0.0
169,22,Research & Development,Laboratory Technician,2523,No,0.0235,Low,N/A,0.0181,0.9819,0.0,0.0
170,49,Research & Development,Manufacturing Director,6567,No,0.0163,Low,N/A,0.0822,0.913,0.0,0.0048
171,43,Research & Development,Research Scientist,4739,No,0.0477,Low,N/A,0.004,0.996,0.0,0.0
174,50,Sales,Sales Executive,9208,No,0.0282,Low,N/A,0.0224,0.9527,0.0,0.0249
175,31,Sales,Sales Executive,4559,Yes,0.7033,Critical,Compensation,0.0424,0.9527,0.0,0.0049
176,41,Sales,Sales Executive,8189,No,0.0314,Low,N/A,0.0477,0.9426,0.0,0.0098
177,26,Human Resources,Human Resources,2942,No,0.0778,Low,N/A,0.0246,0.9462,0.0,0.0292
178,36,Research & Development,Manufacturing Director,4941,No,0.0502,Low,N/A,0.0255,0.9695,0.0,0.0049
179,51,Research & Development,Manufacturing Director,10650,No,0.0584,Low,N/A,0.0318,0.9582,0.0,0.01
182,39,Sales,Sales Executive,5902,No,0.0016,Low,N/A,0.0087,0.9568,0.0,0.0345
183,25,Sales,Sales Executive,8639,No,0.1131,Low,N/A,0.0208,0.9792,0.0,0.0
184,30,Human Resources,Human Resources,6347,No,0.0257,Low,N/A,0.7358,0.2495,0.0,0.0146
190,32,Research & Development,Laboratory Technician,4200,Yes,0.9862,Critical,Compensation,0.0081,0.9919,0.0,0.0
192,45,Research & Development,Research Scientist,3452,No,0.0182,Low,N/A,0.0564,0.9436,0.0,0.0
193,38,Research & Development,Research Scientist,4317,No,0.009,Low,N/A,0.0671,0.9329,0.0,0.0
194,30,Research & Development,Research Scientist,2632,No,0.1459,Low,N/A,0.0595,0.9405,0.0,0.0
195,32,Sales,Sales Executive,4668,No,0.0113,Low,N/A,0.0141,0.9564,0.0,0.0295
197,30,Research & Development,Research Scientist,3204,No,0.0194,Low,N/A,0.0111,0.9889,0.0,0.0
198,30,Research & Development,Laboratory Technician,2720,No,0.0152,Low,N/A,0.027,0.973,0.0,0.0
199,41,Research & Development,Manager,17181,No,0.0532,Low,N/A,0.105,0.8555,0.0,0.0395
200,41,Research & Development,Laboratory Technician,2238,No,0.0152,Low,N/A,0.0322,0.9629,0.0,0.0049
201,19,Research & Development,Laboratory Technician,1483,Yes,0.5514,High,Compensation,0.0,1.0,0.0,0.0
202,40,Research & Development,Research Scientist,5605,No,0.0027,Low,N/A,0.0255,0.9599,0.0,0.0146
204,35,Sales,Sales Executive,7295,No,0.0131,Low,N/A,0.0119,0.9538,0.0,0.0343
205,53,Sales,Sales Representative,2306,No,0.141,Low,N/A,0.8339,0.1614,0.0,0.0047
206,45,Research & Development,Laboratory Technician,2348,No,0.0399,Low,N/A,0.0875,0.9028,0.0,0.0097
207,32,Sales,Sales Executive,8998,No,0.1148,Low,N/A,0.0029,0.9526,0.0,0.0445
208,29,Research & Development,Manufacturing Director,4319,No,0.0018,Low,N/A,0.0253,0.9498,0.0,0.0249
211,51,Research & Development,Manufacturing Director,6132,No,0.0157,Low,N/A,0.0269,0.9681,0.0,0.005
214,58,Research & Development,Research Scientist,3346,No,0.0732,Low,N/A,0.8965,0.1035,0.0,0.0
215,40,Sales,Sales Executive,10855,No,0.0758,Low,N/A,0.123,0.8475,0.0,0.0296
216,34,Sales,Sales Representative,2231,No,0.0207,Low,N/A,0.0085,0.9915,0.0,0.0
217,22,Research & Development,Research Scientist,2323,No,0.0065,Low,N/A,0.0292,0.9708,0.0,0.0
218,27,Research & Development,Research Scientist,2024,No,0.0655,Low,N/A,0.0666,0.9284,0.0,0.0049
221,28,Research & Development,Research Scientist,2713,No,0.0402,Low,N/A,0.0793,0.9207,0.0,0.0
223,57,Research & Development,Healthcare Representative,9439,No,0.0162,Low,N/A,0.8338,0.1612,0.0,0.005
224,27,Research & Development,Research Scientist,2566,No,0.0609,Low,N/A,0.8264,0.1736,0.0,0.0
226,50,Research & Development,Manager,19926,No,0.0259,Low,N/A,0.0298,0.9256,0.0,0.0446
227,41,Research & Development,Research Scientist,2451,No,0.0082,Low,N/A,0.0228,0.9576,0.0,0.0195
228,30,Sales,Sales Executive,9419,No,0.1231,Low,N/A,0.0046,0.8263,0.0,0.1691
230,38,Sales,Sales Executive,8686,No,0.0448,Low,N/A,0.023,0.9226,0.0,0.0544
231,32,Research & Development,Research Scientist,3038,No,0.0545,Low,N/A,0.0081,0.9919,0.0,0.0
233,27,Research & Development,Research Scientist,3058,No,0.0884,Low,N/A,0.8598,0.1402,0.0,0.0
235,19,Sales,Sales Representative,2325,Yes,0.9891,Critical,Compensation,0.0235,0.9765,0.0,0.0
238,36,Research & Development,Laboratory Technician,2088,No,0.1312,Low,N/A,0.0361,0.9095,0.0,0.0544
239,30,Research & Development,Laboratory Technician,3072,No,0.0028,Low,N/A,0.0227,0.8635,0.0,0.1138
240,45,Sales,Sales Executive,5006,No,0.1022,Low,N/A,0.0416,0.9485,0.0,0.0099
241,56,Research & Development,Research Scientist,4257,No,0.0126,Low,N/A,0.0673,0.9277,0.0,0.005
242,33,Research & Development,Research Scientist,2500,No,0.0071,Low,N/A,0.0189,0.9811,0.0,0.0
243,19,Research & Development,Laboratory Technician,1102,Yes,0.9612,Critical,Compensation,0.0323,0.9677,0.0,0.0
244,46,Sales,Sales Executive,10453,No,0.0559,Low,N/A,0.0541,0.7581,0.0,0.1878
245,38,Research & Development,Laboratory Technician,2288,No,0.0598,Low,N/A,0.0118,0.9882,0.0,0.0
246,31,Research & Development,Research Scientist,3929,No,0.0841,Low,N/A,0.0796,0.9204,0.0,0.0
247,34,Research & Development,Research Scientist,2311,No,0.0088,Low,N/A,0.007,0.993,0.0,0.0
248,41,Sales,Sales Representative,3140,Yes,0.7655,Critical,Burnout,0.7793,0.2157,0.0,0.0049
249,50,Research & Development,Laboratory Technician,3690,No,0.0563,Low,N/A,0.0817,0.9085,0.0,0.0098
250,53,Research & Development,Manufacturing Director,4450,No,0.0032,Low,N/A,0.0264,0.9736,0.0,0.0
252,33,Research & Development,Research Scientist,2756,No,0.0024,Low,N/A,0.0139,0.9567,0.0,0.0293
253,40,Research & Development,Manager,19033,No,0.0137,Low,N/A,0.0385,0.9269,0.0,0.0345
254,55,Research & Development,Research Director,18722,No,0.0125,Low,N/A,0.0808,0.8898,0.0,0.0293
256,34,Research & Development,Manufacturing Director,9547,No,0.0114,Low,N/A,0.0663,0.8444,0.0,0.0893
258,51,Research & Development,Healthcare Representative,13734,No,0.0012,Low,N/A,0.0383,0.8825,0.0,0.0792
259,52,Research & Development,Manager,19999,No,0.0041,Low,N/A,0.0572,0.7104,0.0,0.2323
260,27,Research & Development,Research Scientist,2279,No,0.0592,Low,N/A,0.0351,0.9554,0.0,0.0096
261,35,Research & Development,Manufacturing Director,5916,Yes,0.9956,Critical,Compensation,0.0424,0.9576,0.0,0.0
262,43,Research & Development,Research Scientist,2089,No,0.0009,Low,N/A,0.0349,0.9651,0.0,0.0
264,45,Research & Development,Manager,16792,No,0.0333,Low,N/A,0.0227,0.9232,0.0,0.054
267,37,Research & Development,Research Scientist,3564,No,0.0189,Low,N/A,0.7912,0.204,0.0,0.0047
269,35,Research & Development,Laboratory Technician,4425,No,0.2097,Low,N/A,0.0113,0.9787,0.0,0.01
270,42,Research & Development,Manufacturing Director,5265,No,0.0006,Low,N/A,0.014,0.9761,0.0,0.0099
271,38,Research & Development,Manufacturing Director,6553,No,0.0072,Low,N/A,0.0124,0.9876,0.0,0.0
273,38,Research & Development,Manufacturing Director,6261,No,0.0153,Low,N/A,0.0661,0.929,0.0,0.0049
274,27,Research & Development,Manufacturing Director,4298,No,0.0743,Low,N/A,0.0352,0.9648,0.0,0.0
275,49,Research & Development,Manufacturing Director,6804,No,0.0114,Low,N/A,0.057,0.9284,0.0,0.0146
277,34,Research & Development,Research Scientist,3815,No,0.0344,Low,N/A,0.039,0.961,0.0,0.0
281,40,Research & Development,Laboratory Technician,2741,No,0.0618,Low,N/A,0.0541,0.941,0.0,0.005
282,38,Research & Development,Healthcare Representative,6673,Yes,0.964,Critical,Compensation,0.0587,0.9413,0.0,0.0
283,29,Sales,Sales Executive,7639,Yes,0.9003,Critical,Compensation,0.0554,0.9298,0.0,0.0149
284,22,Research & Development,Research Scientist,2328,No,0.1643,Low,N/A,0.7258,0.2742,0.0,0.0
286,36,Research & Development,Laboratory Technician,2153,No,0.0237,Low,N/A,0.0272,0.9728,0.0,0.0
287,40,Research & Development,Healthcare Representative,4876,No,0.0024,Low,N/A,0.079,0.9161,0.0,0.0049
288,46,Research & Development,Healthcare Representative,9396,No,0.0011,Low,N/A,0.035,0.9301,0.0,0.0348
291,32,Sales,Sales Executive,10400,Yes,0.9511,Critical,Compensation,0.0417,0.8939,0.0,0.0643
292,30,Research & Development,Manufacturing Director,8474,No,0.0384,Low,N/A,0.0302,0.8908,0.0,0.079
293,27,Sales,Sales Executive,9981,No,0.0359,Low,N/A,0.0318,0.8446,0.0,0.1236
296,51,Research & Development,Research Director,12490,No,0.1062,Low,N/A,0.1262,0.7506,0.0,0.1232
297,30,Research & Development,Research Scientist,2657,Yes,0.9498,Critical,Compensation,0.0258,0.9692,0.0,0.005
298,41,Sales,Manager,13591,No,0.0024,Low,N/A,0.0772,0.908,0.0,0.0148
299,30,Sales,Sales Executive,6696,Yes,0.9847,Critical,Compensation,0.0174,0.9776,0.0,0.0049
300,29,Research & Development,Research Scientist,2058,No,0.0314,Low,N/A,0.0521,0.943,0.0,0.0049
302,45,Sales,Sales Executive,8865,No,0.0443,Low,N/A,0.0405,0.9102,0.0,0.0493
303,54,Sales,Sales Executive,5940,No,0.0201,Low,N/A,0.0163,0.9737,0.0,0.0099
304,36,Research & Development,Laboratory Technician,5914,No,0.0095,Low,N/A,0.0029,0.9776,0.0,0.0195
305,33,Research & Development,Research Scientist,2622,No,0.0496,Low,N/A,0.005,0.995,0.0,0.0
306,37,Research & Development,Research Director,12185,No,0.005,Low,N/A,0.0584,0.9019,0.0,0.0397
307,38,Sales,Sales Executive,10609,No,0.011,Low,N/A,0.0738,0.7431,0.0,0.1831
308,31,Research & Development,Manufacturing Director,4345,No,0.0055,Low,N/A,0.0224,0.9678,0.0,0.0098
309,59,Research & Development,Research Scientist,2177,No,0.0148,Low,N/A,0.0342,0.946,0.0,0.0198
311,37,Sales,Sales Representative,2793,No,0.0168,Low,N/A,0.017,0.9235,0.0,0.0594
312,29,Sales,Sales Executive,7918,No,0.0115,Low,N/A,0.0273,0.8544,0.0,0.1183
314,35,Sales,Sales Executive,8789,No,0.0308,Low,N/A,0.0259,0.9443,0.0,0.0298
315,29,Research & Development,Research Scientist,2389,Yes,0.837,Critical,Burnout,0.8716,0.1284,0.0,0.0
316,52,Research & Development,Laboratory Technician,3212,No,0.0322,Low,N/A,0.0939,0.9061,0.0,0.0
319,42,Research & Development,Manager,19232,No,0.0189,Low,N/A,0.0344,0.9066,0.0,0.0591
321,59,Human Resources,Human Resources,2267,No,0.05,Low,N/A,0.0798,0.9202,0.0,0.0
323,50,Sales,Manager,19517,No,0.001,Low,N/A,0.0825,0.9027,0.0,0.0148
325,33,Research & Development,Laboratory Technician,2436,Yes,0.9872,Critical,Burnout,0.9447,0.0553,0.0,0.0
327,43,Sales,Manager,16064,No,0.0041,Low,N/A,0.0691,0.9112,0.0,0.0197
328,33,Research & Development,Laboratory Technician,2707,Yes,0.9561,Critical,Compensation,0.0153,0.965,0.0,0.0197
329,52,Sales,Manager,19068,No,0.0904,Low,N/A,0.0894,0.8415,0.0,0.0691
330,32,Sales,Sales Representative,3931,No,0.1205,Low,N/A,0.0064,0.9887,0.0,0.005
331,32,Research & Development,Laboratory Technician,3730,No,0.2014,Low,N/A,0.8473,0.1477,0.0,0.0049
332,39,Research & Development,Laboratory Technician,2232,No,0.0029,Low,N/A,0.0236,0.9764,0.0,0.0
333,32,Sales,Sales Executive,4465,No,0.0115,Low,N/A,0.0227,0.9773,0.0,0.0
334,41,Research & Development,Research Scientist,3072,No,0.4737,Medium,N/A,0.0748,0.9252,0.0,0.0
335,40,Research & Development,Research Scientist,3319,No,0.0134,Low,N/A,0.0037,0.9716,0.0,0.0247
336,45,Research & Development,Manager,19202,No,0.0036,Low,N/A,0.029,0.9217,0.0,0.0493
337,31,Research & Development,Research Director,13675,No,0.0388,Low,N/A,0.0334,0.9466,0.0,0.02
338,33,Research & Development,Research Scientist,2911,No,0.0206,Low,N/A,0.075,0.925,0.0,0.0
339,34,Research & Development,Manufacturing Director,5957,No,0.0094,Low,N/A,0.0202,0.9454,0.0,0.0344
340,37,Research & Development,Research Scientist,3920,No,0.0192,Low,N/A,0.0566,0.9434,0.0,0.0
341,45,Research & Development,Manufacturing Director,6434,No,0.0017,Low,N/A,0.0081,0.9919,0.0,0.0
342,37,Research & Development,Manufacturing Director,10048,Yes,0.9509,Critical,Compensation,0.0171,0.9435,0.0,0.0394
343,39,Research & Development,Healthcare Representative,10938,No,0.0045,Low,N/A,0.0398,0.891,0.0,0.0692
346,29,Research & Development,Research Scientist,2340,No,0.0165,Low,N/A,0.0179,0.9821,0.0,0.0
347,42,Research & Development,Research Scientist,6545,No,0.1381,Low,N/A,0.026,0.974,0.0,0.0
349,29,Sales,Sales Executive,6931,No,0.0032,Low,N/A,0.0165,0.9835,0.0,0.0
350,25,Research & Development,Manufacturing Director,4898,No,0.0066,Low,N/A,0.019,0.9712,0.0,0.0098
351,42,Research & Development,Laboratory Technician,2593,No,0.0195,Low,N/A,0.073,0.8478,0.0,0.0792
352,40,Research & Development,Research Director,19436,No,0.002,Low,N/A,0.032,0.8448,0.0,0.1233
353,51,Research & Development,Research Scientist,2723,No,0.0384,Low,N/A,0.0861,0.9139,0.0,0.0
355,31,Research & Development,Laboratory Technician,3479,Yes,0.9619,Critical,Compensation,0.0213,0.9787,0.0,0.0
359,32,Research & Development,Laboratory Technician,2794,No,0.0738,Low,N/A,0.0559,0.9441,0.0,0.0
361,38,Sales,Sales Executive,5249,No,0.0134,Low,N/A,0.0141,0.8972,0.0,0.0887
