EmployeeNumber,cf_index,feature_changed,current_value,suggested_value,new_attrition_prob,risk_reduction,intervention_label
315,1,DistanceFromHome,18.0,1.0,0.2816,0.5554,Offer remote/hybrid work (commute: 18 → 1 miles)
315,2,TrainingTimesLastYear,3.0,6.0,0.6629,0.1741,Increase training sessions: 3 → 6/year
315,3,DistanceFromHome,18.0,1.0,0.1634,0.6736,Offer remote/hybrid work (commute: 18 → 1 miles)
315,3,TrainingTimesLastYear,3.0,6.0,0.1634,0.6736,Increase training sessions: 3 → 6/year
325,1,DistanceFromHome,14.0,1.0,0.8261,0.1611,Offer remote/hybrid work (commute: 14 → 1 miles)
325,2,MonthlyIncome,2436.0,4919.0,0.9103,0.0769,"Salary raise: $2,436 → $4,919/month (+102%)"
325,3,DistanceFromHome,14.0,1.0,0.4072,0.5801,Offer remote/hybrid work (commute: 14 → 1 miles)
325,3,MonthlyIncome,2436.0,4919.0,0.4072,0.5801,"Salary raise: $2,436 → $4,919/month (+102%)"
328,1,JobSatisfaction,1.0,4.0,0.3757,0.5804,Improve job satisfaction: 1 → 4/4
328,2,EnvironmentSatisfaction,1.0,4.0,0.6359,0.3202,Improve work environment: 1 → 4/4
328,3,JobSatisfaction,1.0,4.0,0.0529,0.9032,Improve job satisfaction: 1 → 4/4
328,3,EnvironmentSatisfaction,1.0,4.0,0.0529,0.9032,Improve work environment: 1 → 4/4
342,1,EnvironmentSatisfaction,1.0,4.0,0.3212,0.6296,Improve work environment: 1 → 4/4
342,2,JobSatisfaction,3.0,4.0,0.7355,0.2154,Improve job satisfaction: 3 → 4/4
342,3,EnvironmentSatisfaction,1.0,4.0,0.071,0.8798,Improve work environment: 1 → 4/4
342,3,JobSatisfaction,3.0,4.0,0.071,0.8798,Improve job satisfaction: 3 → 4/4
355,1,JobSatisfaction,2.0,4.0,0.5456,0.4164,Improve job satisfaction: 2 → 4/4
355,2,EnvironmentSatisfaction,3.0,4.0,0.6346,0.3273,Improve work environment: 3 → 4/4
355,3,JobSatisfaction,2.0,4.0,0.2098,0.7522,Improve job satisfaction: 2 → 4/4
355,3,EnvironmentSatisfaction,3.0,4.0,0.2098,0.7522,Improve work environment: 3 → 4/4
364,1,JobSatisfaction,3.0,4.0,0.7306,0.2436,Improve job satisfaction: 3 → 4/4
364,2,DistanceFromHome,2.0,1.0,0.8878,0.0864,Offer remote/hybrid work (commute: 2 → 1 miles)
364,3,JobSatisfaction,3.0,4.0,0.4162,0.558,Improve job satisfaction: 3 → 4/4
364,3,DistanceFromHome,2.0,1.0,0.4162,0.558,Offer remote/hybrid work (commute: 2 → 1 miles)
376,1,DistanceFromHome,29.0,1.0,0.4696,0.4882,Offer remote/hybrid work (commute: 29 → 1 miles)
376,2,EnvironmentSatisfaction,1.0,4.0,0.7027,0.2551,Improve work environment: 1 → 4/4
376,3,DistanceFromHome,29.0,1.0,0.1314,0.8263,Offer remote/hybrid work (commute: 29 → 1 miles)
376,3,EnvironmentSatisfaction,1.0,4.0,0.1314,0.8263,Improve work environment: 1 → 4/4
379,1,JobSatisfaction,3.0,4.0,0.2199,0.3508,Improve job satisfaction: 3 → 4/4
379,2,DistanceFromHome,3.0,1.0,0.2288,0.3419,Offer remote/hybrid work (commute: 3 → 1 miles)
379,3,JobSatisfaction,3.0,4.0,0.0612,0.5095,Improve job satisfaction: 3 → 4/4
379,3,DistanceFromHome,3.0,1.0,0.0612,0.5095,Offer remote/hybrid work (commute: 3 → 1 miles)
392,1,DistanceFromHome,24.0,1.0,0.4304,0.541,Offer remote/hybrid work (commute: 24 → 1 miles)
392,2,JobSatisfaction,3.0,4.0,0.7688,0.2026,Improve job satisfaction: 3 → 4/4
392,3,DistanceFromHome,24.0,1.0,0.1454,0.826,Offer remote/hybrid work (commute: 24 → 1 miles)
392,3,JobSatisfaction,3.0,4.0,0.1454,0.826,Improve job satisfaction: 3 → 4/4
394,1,OverTime,1.0,0.0,0.8138,0.1689,Remove overtime requirement
394,2,DistanceFromHome,16.0,1.0,0.8209,0.1618,Offer remote/hybrid work (commute: 16 → 1 miles)
394,3,OverTime,1.0,0.0,0.306,0.6767,Remove overtime requirement
394,3,DistanceFromHome,16.0,1.0,0.306,0.6767,Offer remote/hybrid work (commute: 16 → 1 miles)
399,1,WorkLifeBalance,2.0,3.0,0.1991,0.3386,Improve work-life balance: 2 → 3/4
399,2,JobSatisfaction,2.0,4.0,0.269,0.2688,Improve job satisfaction: 2 → 4/4
399,3,WorkLifeBalance,2.0,3.0,0.1005,0.4373,Improve work-life balance: 2 → 3/4
399,3,JobSatisfaction,2.0,4.0,0.1005,0.4373,Improve job satisfaction: 2 → 4/4
401,1,TrainingTimesLastYear,0.0,6.0,0.3582,0.4151,Increase training sessions: 0 → 6/year
401,2,YearsSinceLastPromotion,7.0,1.0,0.4105,0.3628,Promote employee (reset promotion clock to 0)
401,3,TrainingTimesLastYear,0.0,6.0,0.1291,0.6441,Increase training sessions: 0 → 6/year
401,3,YearsSinceLastPromotion,7.0,1.0,0.1291,0.6441,Promote employee (reset promotion clock to 0)
405,1,TrainingTimesLastYear,2.0,6.0,0.9091,0.076,Increase training sessions: 2 → 6/year
405,2,DistanceFromHome,3.0,1.0,0.9263,0.0589,Offer remote/hybrid work (commute: 3 → 1 miles)
405,3,TrainingTimesLastYear,2.0,6.0,0.7093,0.2759,Increase training sessions: 2 → 6/year
405,3,DistanceFromHome,3.0,1.0,0.7093,0.2759,Offer remote/hybrid work (commute: 3 → 1 miles)
411,1,TrainingTimesLastYear,2.0,6.0,0.9139,0.0719,Increase training sessions: 2 → 6/year
411,2,StockOptionLevel,0.0,2.0,0.9177,0.0681,Grant stock options (Level 0 → 2)
411,3,TrainingTimesLastYear,2.0,6.0,0.721,0.2648,Increase training sessions: 2 → 6/year
411,3,StockOptionLevel,0.0,2.0,0.721,0.2648,Grant stock options (Level 0 → 2)
424,1,JobSatisfaction,1.0,4.0,0.1167,0.4788,Improve job satisfaction: 1 → 4/4
424,2,EnvironmentSatisfaction,1.0,4.0,0.1712,0.4243,Improve work environment: 1 → 4/4
424,3,JobSatisfaction,1.0,4.0,0.025,0.5705,Improve job satisfaction: 1 → 4/4
424,3,EnvironmentSatisfaction,1.0,4.0,0.025,0.5705,Improve work environment: 1 → 4/4
433,1,JobSatisfaction,2.0,4.0,0.4488,0.4982,Improve job satisfaction: 2 → 4/4
433,2,StockOptionLevel,0.0,2.0,0.4975,0.4495,Grant stock options (Level 0 → 2)
433,3,JobSatisfaction,2.0,4.0,0.1357,0.8112,Improve job satisfaction: 2 → 4/4
433,3,StockOptionLevel,0.0,2.0,0.1357,0.8112,Grant stock options (Level 0 → 2)
434,1,JobSatisfaction,2.0,4.0,0.5739,0.361,Improve job satisfaction: 2 → 4/4
434,2,TrainingTimesLastYear,2.0,6.0,0.67,0.2649,Increase training sessions: 2 → 6/year
434,3,JobSatisfaction,2.0,4.0,0.2537,0.6812,Improve job satisfaction: 2 → 4/4
434,3,TrainingTimesLastYear,2.0,6.0,0.2537,0.6812,Increase training sessions: 2 → 6/year
440,1,EnvironmentSatisfaction,1.0,4.0,0.9544,0.0381,Improve work environment: 1 → 4/4
440,2,WorkLifeBalance,2.0,3.0,0.9588,0.0337,Improve work-life balance: 2 → 3/4
440,3,EnvironmentSatisfaction,1.0,4.0,0.6739,0.3186,Improve work environment: 1 → 4/4
440,3,WorkLifeBalance,2.0,3.0,0.6739,0.3186,Improve work-life balance: 2 → 3/4
445,1,StockOptionLevel,0.0,2.0,0.6858,0.2647,Grant stock options (Level 0 → 2)
445,2,JobSatisfaction,3.0,4.0,0.7252,0.2253,Improve job satisfaction: 3 → 4/4
445,3,StockOptionLevel,0.0,2.0,0.3315,0.6191,Grant stock options (Level 0 → 2)
445,3,JobSatisfaction,3.0,4.0,0.3315,0.6191,Improve job satisfaction: 3 → 4/4
454,1,StockOptionLevel,0.0,2.0,0.8653,0.1111,Grant stock options (Level 0 → 2)
454,2,WorkLifeBalance,2.0,3.0,0.895,0.0814,Improve work-life balance: 2 → 3/4
454,3,StockOptionLevel,0.0,2.0,0.6512,0.3253,Grant stock options (Level 0 → 2)
454,3,WorkLifeBalance,2.0,3.0,0.6512,0.3253,Improve work-life balance: 2 → 3/4
478,1,EnvironmentSatisfaction,1.0,4.0,0.9362,0.0558,Improve work environment: 1 → 4/4
478,2,JobSatisfaction,2.0,4.0,0.9699,0.022,Improve job satisfaction: 2 → 4/4
478,3,EnvironmentSatisfaction,1.0,4.0,0.8847,0.1073,Improve work environment: 1 → 4/4
478,3,JobSatisfaction,2.0,4.0,0.8847,0.1073,Improve job satisfaction: 2 → 4/4
485,1,DistanceFromHome,5.0,1.0,0.9155,0.0655,Offer remote/hybrid work (commute: 5 → 1 miles)
485,2,TrainingTimesLastYear,2.0,6.0,0.9175,0.0635,Increase training sessions: 2 → 6/year
485,3,DistanceFromHome,5.0,1.0,0.7597,0.2213,Offer remote/hybrid work (commute: 5 → 1 miles)
485,3,TrainingTimesLastYear,2.0,6.0,0.7597,0.2213,Increase training sessions: 2 → 6/year
488,1,EnvironmentSatisfaction,1.0,4.0,0.6172,0.3369,Improve work environment: 1 → 4/4
488,2,JobSatisfaction,2.0,4.0,0.6556,0.2985,Improve job satisfaction: 2 → 4/4
488,3,EnvironmentSatisfaction,1.0,4.0,0.2723,0.6818,Improve work environment: 1 → 4/4
488,3,JobSatisfaction,2.0,4.0,0.2723,0.6818,Improve job satisfaction: 2 → 4/4
492,1,DistanceFromHome,22.0,1.0,0.7703,0.1819,Offer remote/hybrid work (commute: 22 → 1 miles)
492,2,OverTime,1.0,0.0,0.7909,0.1613,Remove overtime requirement
492,3,DistanceFromHome,22.0,1.0,0.4726,0.4796,Offer remote/hybrid work (commute: 22 → 1 miles)
492,3,OverTime,1.0,0.0,0.4726,0.4796,Remove overtime requirement
494,1,TrainingTimesLastYear,0.0,6.0,0.4818,0.4819,Increase training sessions: 0 → 6/year
494,2,DistanceFromHome,12.0,1.0,0.8211,0.1427,Offer remote/hybrid work (commute: 12 → 1 miles)
494,3,TrainingTimesLastYear,0.0,6.0,0.239,0.7248,Increase training sessions: 0 → 6/year
494,3,DistanceFromHome,12.0,1.0,0.239,0.7248,Offer remote/hybrid work (commute: 12 → 1 miles)
502,1,DistanceFromHome,19.0,1.0,0.7476,0.2242,Offer remote/hybrid work (commute: 19 → 1 miles)
502,2,EnvironmentSatisfaction,1.0,4.0,0.8521,0.1197,Improve work environment: 1 → 4/4
502,3,DistanceFromHome,19.0,1.0,0.4131,0.5587,Offer remote/hybrid work (commute: 19 → 1 miles)
502,3,EnvironmentSatisfaction,1.0,4.0,0.4131,0.5587,Improve work environment: 1 → 4/4
514,1,MonthlyIncome,2285.0,4919.0,0.8371,0.1454,"Salary raise: $2,285 → $4,919/month (+115%)"
514,2,OverTime,1.0,0.0,0.8762,0.1063,Remove overtime requirement
514,3,MonthlyIncome,2285.0,4919.0,0.5716,0.4109,"Salary raise: $2,285 → $4,919/month (+115%)"
514,3,OverTime,1.0,0.0,0.5716,0.4109,Remove overtime requirement
527,1,EnvironmentSatisfaction,2.0,4.0,0.249,0.4488,Improve work environment: 2 → 4/4
527,2,OverTime,1.0,0.0,0.3534,0.3445,Remove overtime requirement
527,3,EnvironmentSatisfaction,2.0,4.0,0.0709,0.627,Improve work environment: 2 → 4/4
527,3,OverTime,1.0,0.0,0.0709,0.627,Remove overtime requirement
538,1,JobSatisfaction,1.0,4.0,0.524,0.4047,Improve job satisfaction: 1 → 4/4
538,2,EnvironmentSatisfaction,1.0,4.0,0.54,0.3887,Improve work environment: 1 → 4/4
538,3,JobSatisfaction,1.0,4.0,0.1326,0.796,Improve job satisfaction: 1 → 4/4
538,3,EnvironmentSatisfaction,1.0,4.0,0.1326,0.796,Improve work environment: 1 → 4/4
554,1,EnvironmentSatisfaction,1.0,4.0,0.8474,0.1359,Improve work environment: 1 → 4/4
554,2,JobSatisfaction,2.0,4.0,0.8962,0.0871,Improve job satisfaction: 2 → 4/4
554,3,EnvironmentSatisfaction,1.0,4.0,0.5803,0.403,Improve work environment: 1 → 4/4
554,3,JobSatisfaction,2.0,4.0,0.5803,0.403,Improve job satisfaction: 2 → 4/4
555,1,MonthlyIncome,2351.0,8379.0,0.7878,0.1786,"Salary raise: $2,351 → $8,379/month (+256%)"
555,2,WorkLifeBalance,2.0,3.0,0.7882,0.1782,Improve work-life balance: 2 → 3/4
555,3,MonthlyIncome,2351.0,8379.0,0.4074,0.559,"Salary raise: $2,351 → $8,379/month (+256%)"
555,3,WorkLifeBalance,2.0,3.0,0.4074,0.559,Improve work-life balance: 2 → 3/4
565,1,StockOptionLevel,0.0,2.0,0.3739,0.5659,Grant stock options (Level 0 → 2)
565,2,JobSatisfaction,2.0,4.0,0.4609,0.4789,Improve job satisfaction: 2 → 4/4
565,3,StockOptionLevel,0.0,2.0,0.1027,0.8371,Grant stock options (Level 0 → 2)
565,3,JobSatisfaction,2.0,4.0,0.1027,0.8371,Improve job satisfaction: 2 → 4/4
566,1,EnvironmentSatisfaction,1.0,4.0,0.7482,0.2379,Improve work environment: 1 → 4/4
566,2,TrainingTimesLastYear,3.0,6.0,0.9571,0.029,Increase training sessions: 3 → 6/year
566,3,EnvironmentSatisfaction,1.0,4.0,0.5247,0.4614,Improve work environment: 1 → 4/4
566,3,TrainingTimesLastYear,3.0,6.0,0.5247,0.4614,Increase training sessions: 3 → 6/year
582,1,DistanceFromHome,15.0,1.0,0.7638,0.2055,Offer remote/hybrid work (commute: 15 → 1 miles)
582,2,TrainingTimesLastYear,2.0,6.0,0.7917,0.1776,Increase training sessions: 2 → 6/year
582,3,DistanceFromHome,15.0,1.0,0.4156,0.5538,Offer remote/hybrid work (commute: 15 → 1 miles)
582,3,TrainingTimesLastYear,2.0,6.0,0.4156,0.5538,Increase training sessions: 2 → 6/year
584,1,EnvironmentSatisfaction,1.0,4.0,0.4659,0.4934,Improve work environment: 1 → 4/4
584,2,DistanceFromHome,10.0,1.0,0.6872,0.2721,Offer remote/hybrid work (commute: 10 → 1 miles)
584,3,EnvironmentSatisfaction,1.0,4.0,0.1039,0.8554,Improve work environment: 1 → 4/4
584,3,DistanceFromHome,10.0,1.0,0.1039,0.8554,Offer remote/hybrid work (commute: 10 → 1 miles)
587,1,DistanceFromHome,20.0,1.0,0.8695,0.1205,Offer remote/hybrid work (commute: 20 → 1 miles)
